PROC_TRACEINFO,OP070_V_1_angle_value,OP090_SnapRingPeakForce_value,OP070_V_2_angle_value,OP120_Rodage_I_mesure_value,OP090_SnapRingFinalStroke_value,OP110_Vissage_M8_torque_value,OP100_Capuchon_insertion_mesure,OP120_Rodage_U_mesure_value,OP070_V_1_torque_value,OP090_StartLinePeakForce_value,OP110_Vissage_M8_angle_value,OP090_SnapRingMidPointForce_val,OP070_V_2_torque_value
I-B-XA1207672-190907-00780,157.1,150.7,165.9,111.57,12.05,12.18,0.38,11.97,6.41,23.23,32.5,92.23,6.42
I-B-XA1207672-190629-00785,147.3,143.21,168.1,104.57,11.75,12.21,,11.98,6.62,25.44,18.3,108.36,6.6
I-B-XA1207672-190520-00450,164.5,166.17,162.3,116.17,11.89,12.19,,11.97,6.61,23.19,17.4,100.51,6.63
I-B-XA1207672-190504-00394,152.1,163.09,153.9,115.52,12.1,12.16,,11.98,6.62,22.53,15.4,104.57,6.63
I-B-XA1207672-190508-02477,156.3,153.72,159.1,110.56,12.11,12.3,,11.98,6.62,21.61,16.6,95.84,6.61
I-B-XA1207672-190712-03864,173,150.8,158.3,116.64,11.83,12.37,,11.97,6.61,24.53,10.6,105.24,6.61
I-B-XA1207672-190906-02758,153.3,142.99,156.5,113.51,12.04,12.19,0.41,11.97,6.41,25.96,23,99.81,6.41
I-B-XA1207672-190905-03513,150.1,148.68,156.4,106.61,12.09,12.31,0.41,11.97,6.42,21.35,11.4,100.68,6.42
I-B-XA1207672-190830-01832,152.5,149.99,146.6,108.9,12.12,12.19,0.37,11.97,6.4,18.67,13.6,88.99,6.41
I-B-XA1207672-190503-03973,146.5,148,154.1,115.81,12.08,12.17,,11.97,6.62,24.77,22.9,92.08,6.61
I-B-XA1207672-190422-00688,157.3,165.26,177.4,114.72,12.09,12.28,,11.97,6.6,23.72,13.7,98.86,6.64
I-B-XA1207672-190503-01007,188.9,173.16,155.3,113.75,12.06,12.29,,11.97,6.62,22.46,12.1,98.87,6.61
I-B-XA1207672-190520-00471,182.1,154.11,170,115.97,11.91,12.19,,11.97,6.62,22.12,14.5,93.23,6.62
I-B-XA1207672-190713-00057,136.9,146.99,180,112.49,11.84,12.2,,11.97,6.61,24.34,16.7,103.74,6.61
I-B-XA1207672-190907-01202,152.4,154.32,175.4,109.66,12.04,12.19,0.41,11.97,6.41,24.34,14.3,106.54,6.41
I-B-XA1207672-190629-00710,172.3,170.32,151.8,112.11,11.73,12.28,,11.97,6.6,30.39,21.1,114.22,6.62
I-B-XA1207672-190906-02755,153.3,155.36,158.5,115.71,12.03,12.27,0.41,11.97,6.41,24.21,12.2,102.72,6.4
I-B-XA1207672-190503-02715,146.5,152.56,165.2,116.08,12.08,12.29,,11.97,6.6,22.93,11.9,96.21,6.61
I-B-XA1207672-190830-03253,136.8,149.41,150.4,115.3,12.12,12.22,0.4,11.97,6.41,17.96,14.3,82.84,6.43
I-B-XA1207672-190831-00362,160.9,134.15,119.3,114.31,12.14,12.36,0.4,11.97,6.4,16.71,10.3,79.43,6.42
I-B-XA1207672-190621-03315,154.9,144.11,162,110.24,11.89,12.37,,11.97,6.6,24.25,10.1,94.93,6.6
I-B-XA1207672-190703-01068,173.3,152.27,169.1,111.9,11.78,12.27,,11.97,6.61,25.05,14.1,98.88,6.61
I-B-XA1207672-190429-01105,176.5,181.07,171.9,111.72,12.06,12.2,,11.98,6.62,28.92,15.6,104.02,6.61
I-B-XA1207672-190802-02680,147.4,162.02,151.6,110.38,11.82,12.21,0.39,11.97,6.61,26.31,18.1,105.62,6.63
I-B-XA1207672-190528-03376,170.7,167.73,140,105.09,11.88,12.36,,11.97,6.61,22,12.2,89.44,6.63
I-B-XA1207672-190424-03176,164.1,158.95,155.9,113.96,12.09,12.17,,11.97,6.64,22.68,28.3,100.62,6.63
I-B-XA1207672-190907-02482,166,161.06,145.6,117.13,12.04,12.2,0.41,11.97,6.42,24.52,15.1,100.93,6.4
I-B-XA1207672-190802-01796,150.4,142.16,153.1,113.36,11.86,12.17,0.37,11.97,6.61,24.24,26,95.02,6.6
I-B-XA1207672-190828-01250,171.6,149.61,163.6,115.89,12.13,12.27,0.41,11.97,6.4,22.77,14.5,101.73,6.41
I-B-XA1207672-190508-02511,171.6,173.04,155.6,113.64,12.07,12.32,,11.97,6.61,21.29,16,101.07,6.65
I-B-XA1207672-190422-00156,156.5,186.37,192,114.28,12.08,12.26,,11.97,6.63,21.97,16.9,102.91,6.63
I-B-XA1207672-190830-01067,146,150.98,139.4,116.33,12.09,12.26,0.4,11.97,6.43,18.36,18.6,88.24,6.43
I-B-XA1207672-190907-02505,149,157.74,176.1,110.55,12.05,12.29,0.41,11.97,6.4,22.6,21.7,96.6,6.4
I-B-XA1207672-190429-00283,153,163.89,169.6,117.34,12.08,12.17,,11.97,6.63,23.69,19.9,95.55,6.64
I-B-XA1207672-190830-00775,157.9,140.36,158.9,113.64,12.12,12.34,0.41,11.97,6.42,17.9,12.6,86.47,6.42
I-B-XA1207672-190530-03427,172.4,163.48,169.1,116.46,11.9,12.3,,11.97,6.62,26.34,11.1,94.46,6.61
I-B-XA1207672-190504-00969,154.6,154.6,147.8,128.95,12.08,12.22,,11.97,6.6,21.97,26.5,96.49,6.6
I-B-XA1207672-190503-03596,140.3,174.68,154.6,113.51,12.07,12.14,,11.97,6.62,25.5,24.3,99.62,6.63
I-B-XA1207672-190429-00576,170.2,174.69,150.8,117.02,12.06,12.2,,11.97,6.62,24.5,14.4,105.81,6.6
I-B-XA1207672-190828-02129,157.2,157.68,160.9,119.29,12.12,12.17,0.4,11.97,6.41,22.47,14.1,97.63,6.41
I-B-XA1207672-190906-03562,165.5,158.99,151.6,114.19,12.13,12.28,0.41,11.97,6.43,23.63,18.3,95.94,6.4
I-B-XA1207672-190712-01825,156.2,156.47,157.1,115.99,11.84,12.23,,11.97,6.61,26.55,15.7,97.89,6.6
I-B-XA1207672-190627-01144,158.8,148.47,177.4,113.96,11.71,12.31,,11.97,6.63,26.16,15.1,99.74,6.63
I-B-XA1207672-190513-01365,151.5,175.76,165.8,108.72,11.94,12.06,,11.97,6.6,28.01,37.1,105.19,6.63
I-B-XA1207672-190706-01233,174.6,146.56,158.7,114.77,11.76,12.24,,11.97,6.6,24.53,23.9,95.26,6.6
I-B-XA1207672-190429-00491,140.5,176.68,149.5,108.4,12.06,12.21,,11.97,6.62,24.6,21.1,107.19,6.64
I-B-XA1207672-190802-02519,152.4,160.63,167.7,108.36,11.84,12.24,0.38,11.97,6.61,27.28,33.6,104.32,6.6
I-B-XA1207672-190830-01571,173.5,150.28,169.6,110.96,12.13,12.2,0.34,11.97,6.41,16.9,19.7,75.67,6.4
I-B-XA1207672-190907-01601,172.9,136.58,176,109.94,12.06,12.28,0.39,11.97,6.42,19.54,17.6,91.07,6.4
I-B-XA1207672-190508-02551,171.9,172.17,164.1,111.35,12.07,12.21,,11.97,6.63,21.74,13.5,103.07,6.61
I-B-XA1207672-190504-01284,182.9,170.8,163.3,111.28,12.06,12.2,,11.97,6.62,23.49,62.3,97.73,6.6
I-B-XA1207672-190801-03703,164.8,153.9,142.6,115.1,11.82,12.24,0.29,11.97,6.6,24.4,20.9,94.48,6.61
I-B-XA1207672-190829-00698,144.6,155,157.3,112.05,12.14,12.25,0.41,11.97,6.41,17.54,14,78.91,6.4
I-B-XA1207672-190830-05065,182.1,144.47,147.2,108.91,12.13,12.16,0.38,11.97,6.41,19.03,23,86.58,6.41
I-B-XA1207672-190802-00798,156.3,128.39,166.1,112.8,11.85,12.23,0.38,11.97,6.6,21.97,20.7,88.29,6.61
I-B-XA1207672-190504-01213,167.1,169.22,147.4,125.75,12.06,12.22,,11.97,6.62,24.68,14.9,98.96,6.61
I-B-XA1207672-190508-02186,164.5,167.05,161.3,118.27,12.08,12.09,,11.97,6.6,23.23,41.5,102.24,6.61
I-B-XA1207672-190429-00899,162,182.42,148,118.25,12.05,12.27,,11.97,6.61,22.9,18.8,101.02,6.61
I-B-XA1207672-190905-01196,157.8,138.19,172.2,109.47,12.1,12.24,0.41,11.97,6.41,22.96,20,91.06,6.4
I-B-XA1207672-190815-00280,131.5,154.99,141.4,113.52,11.83,12.24,0.37,11.97,6.61,28.03,15.9,102.04,6.61
I-B-XA1207672-190706-02057,173.4,155.65,152,110.83,11.79,12.19,,11.98,6.61,23.12,24.1,89.79,6.61
I-B-XA1207672-190828-00922,143.6,151.51,159.3,116.62,12.12,12.31,0.39,11.97,6.41,23.68,13,94.79,6.41
I-B-XA1207672-190802-01247,155.9,161.88,154.1,106.6,11.8,12.29,0.4,11.97,6.61,27.52,12.6,97.2,6.61
I-B-XA1207672-190703-01123,163.6,152,159.7,114.18,11.75,12.32,,11.97,6.62,27.47,12,97.72,6.62
I-B-XA1207672-190503-03842,157.1,154.99,165,115.65,12.08,12.28,,11.97,6.6,23.71,15,102.13,6.6
I-B-XA1207672-190424-02964,151.6,178.19,174.9,110.57,12.05,12.36,,11.97,6.6,20.63,18.8,99.78,6.63
I-B-XA1207672-190828-03224,184.5,154.19,164.9,115.97,12.12,12.31,0.38,11.97,6.41,22.82,15.9,98.37,6.41
I-B-XA1207672-190829-00197,148.3,140.22,168.6,108.26,12.13,12.35,0.39,11.97,6.41,18.28,12,87.01,6.42
I-B-XA1207672-190712-03656,142.3,151.75,169.6,107.94,11.85,12.2,,11.97,6.6,28.31,19,104.54,6.61
I-B-XA1207672-190429-00077,157.2,163.7,173.5,118.36,12.08,12.39,,11.97,6.62,25.69,7.2,105.14,6.61
I-B-XA1207672-190712-01242,158.4,154.93,197.5,112.02,11.84,12.19,,11.97,6.61,25.17,16,101.21,6.54
I-B-XA1207672-190424-02484,145.9,173.31,138.9,111.98,12.06,12.23,,11.97,6.6,21.85,28.2,97.1,6.62
I-B-XA1207672-190715-00614,159.9,145.04,180.3,117.1,11.85,12.29,,11.97,6.63,26.39,23.9,105.82,6.61
I-B-XA1207672-190830-04896,167.4,142.82,159.4,112.79,12.14,12.15,0.39,11.97,6.41,17.84,21.5,78.12,6.44
I-B-XA1207672-190513-01580,145.5,163.81,164.1,118.14,11.93,12.28,,11.97,6.62,29.82,14.2,101.25,6.61
I-B-XA1207672-190627-01589,144.3,158.78,165.5,111.5,11.69,12.21,,11.97,6.62,24.8,19.7,100.14,6.6
I-B-XA1207672-190429-01040,192.7,157.85,174.7,115.61,12.07,12.25,,11.97,6.62,23.3,17.1,98.12,6.6
I-B-XA1207672-190830-04060,136.7,158.88,179.8,113.2,12.11,12.18,0.39,11.97,6.41,18.95,22.4,81.9,6.4
I-B-XA1207672-190712-01089,181.8,147.09,173.1,113.25,11.85,12.34,,11.97,6.6,26.11,13.7,104.99,6.61
I-B-XA1207672-190905-03876,164.1,141.36,143.4,113.75,12.1,12.19,0.41,11.97,6.4,22.05,19.7,97,6.42
I-B-XA1207672-190520-00232,150.7,166.74,152.3,119.13,11.89,12.26,,11.97,6.62,22.53,14.9,98.42,6.62
I-B-XA1207672-190627-01199,167.1,142.44,153.4,117.08,11.72,12.24,,11.97,6.61,20.81,20.8,94.06,6.61
I-B-XA1207672-190508-03140,149.8,166.92,146.9,114.92,12.08,12.17,,11.97,6.61,24.19,16.3,102.21,6.61
I-B-XA1207672-190907-02139,170.2,140.07,161.4,111.75,12.07,12.26,0.41,11.97,6.43,19.98,17.4,92.14,6.43
I-B-XA1207672-190712-01435,179.3,145.32,151.5,112.85,11.85,12.23,,11.97,6.63,27.95,20.2,99.02,6.61
I-B-XA1207672-190802-02600,181.4,169.58,136,109.07,11.82,12.38,0.38,11.97,6.6,26.13,12.4,102.07,6.61
I-B-XA1207672-190830-02710,156.8,154.86,152.3,117.42,12.1,12.3,0.4,11.97,6.41,19.33,14.5,87.77,6.4
I-B-XA1207672-190801-01406,163,151.34,154.9,114.06,11.83,12.27,0.37,11.97,6.61,24.95,18.6,94.67,6.61
I-B-XA1207672-190831-00837,174.1,141.72,159.7,120.08,12.12,12.29,0.32,11.97,6.41,20.32,13.6,86.56,6.41
I-B-XA1207672-190831-00461,157.5,160.46,162.4,116.67,12.1,12.33,0.4,11.97,6.41,18.43,13.6,82.98,6.43
I-B-XA1207672-190429-00302,163,161.14,159.9,116.72,12.08,12.07,,11.97,6.61,23.83,43.3,98.81,6.62
I-B-XA1207672-190802-01978,189.2,158.45,180.8,111.33,11.81,12.27,0.38,11.97,6.61,25.87,13,93.94,6.61
I-B-XA1207672-190727-00989,164.2,143.22,160.5,109.62,11.86,12.16,0.4,11.98,6.61,24.48,23.9,98.87,6.6
I-B-XA1207672-190502-02565,165,153.86,151.3,111.97,12.09,12.17,,11.97,6.62,22.7,17.5,96.03,6.61
I-B-XA1207672-190830-05027,159.1,144.94,157.6,108.12,12.14,12.36,0.34,11.97,6.41,18.23,10.8,84.42,6.41
I-B-XA1207672-190713-00234,140,161.44,186.8,119.35,11.83,12.31,,11.97,6.61,26.66,14.4,105.92,6.63
I-B-XA1207672-190830-01131,156.7,154.95,160,113.18,12.09,12.3,0.4,11.97,6.41,18.47,19,89.31,6.42
I-B-XA1207672-190425-01176,197.4,170.19,166.3,113.65,12.07,12.15,,11.97,6.58,23.86,13.7,100.54,6.61
I-B-XA1207672-190503-02273,149.4,168.33,174.5,120.67,12.06,12.23,,11.97,6.61,25.56,21,102.96,6.61
I-B-XA1207672-190904-01666,157.1,151.54,138.8,112.05,12.09,12.34,0.41,11.97,6.4,21.78,13.4,89.98,6.42
I-B-XA1207672-190513-00959,163.5,153.17,159.6,112.91,11.96,12.34,,11.97,6.63,27.41,14.4,98.4,6.6
I-B-XA1207672-190502-00026,154.2,184.11,167.8,109.77,12.07,12.21,,11.97,6.61,25.59,25.5,103.88,6.61
I-B-XA1207672-190905-01563,183.2,148.46,176.1,113.71,12.1,12.28,0.41,11.97,6.4,22.36,18.6,97.61,6.41
I-B-XA1207672-190504-00292,162.9,178.58,151.8,116.33,12.06,12.23,,11.97,6.61,24.74,13.4,106.41,6.63
I-B-XA1207672-190508-03237,150,159.13,158.7,109.6,12.1,12.39,,11.97,6.61,23.57,9.5,106.93,6.6
I-B-XA1207672-190828-02075,166,162.48,172.3,115.37,12.13,12.23,0.39,11.97,6.41,22.48,20.6,103.43,6.42
I-B-XA1207672-190508-02185,155.8,157.14,154.4,113.81,12.11,12.27,,11.97,6.61,23.58,15.8,98.11,6.6
I-B-XA1207672-190803-00374,168.9,163.4,166.6,111.26,11.82,12.25,0.36,11.97,6.61,27.35,17.1,107.7,6.61
I-B-XA1207672-190503-02628,139.6,168.47,166.6,115.19,12.06,12.41,,11.97,6.62,22.43,18.4,96.98,6.61
I-B-XA1207672-190701-00494,166.6,173.28,157.9,107.89,11.75,12.33,,11.97,6.61,28.94,13.1,109.26,6.61
I-B-XA1207672-190802-00006,138.8,143.33,153.3,113.91,11.85,12.19,0.32,11.97,6.61,24.21,35,93.86,6.62
I-B-XA1207672-190508-03788,146.8,158.49,171.5,117.36,12.12,12.19,,11.97,6.63,22.59,16.5,104.31,6.6
I-B-XA1207672-190907-01629,195.8,149.5,184,114.29,12.05,12.25,0.41,11.97,6.41,22.06,15.6,94.57,6.4
I-B-XA1207672-190829-00828,149.2,158.3,147.3,113.21,12.13,12.36,0.38,11.97,6.41,20.32,37.3,86.27,6.41
I-B-XA1207672-190828-00947,165.9,151.86,162,114.94,12.12,12.13,0.4,11.97,6.41,21.42,26.4,94.24,6.41
I-B-XA1207672-190801-01337,139.6,159.68,154.6,116.65,11.81,12.23,0.38,11.97,6.61,25.13,14.2,99.65,6.63
I-B-XA1207672-190830-00881,163.7,140.55,185.7,113.74,12.12,12.26,0.41,11.97,6.4,16.81,41.4,83.16,6.41
I-B-XA1207672-190429-00569,149.2,162.61,151.7,117.49,12.07,12.21,,11.97,6.61,24.99,19.6,106.63,6.62
I-B-XA1207672-190803-00429,161.2,158.79,168.4,114.7,11.81,12.3,0.36,11.97,6.6,26.32,19.2,102.38,6.63
I-B-XA1207672-190828-01694,175.4,159.95,158.5,115.44,12.12,12.17,0.41,11.97,6.42,21.36,39.6,96.85,6.4
I-B-XA1207672-190530-03845,157.5,163.35,168.4,112.71,11.9,12.26,,11.97,6.62,23.85,20.1,88.99,6.64
I-B-XA1207672-190828-03130,178.1,161.79,142.2,109.37,12.11,12.3,0.39,11.97,6.41,23.29,14.2,96.6,6.42
I-B-XA1207672-190706-01441,143.6,141.7,153.2,109.75,11.77,12.31,,11.97,6.6,25.53,15.1,93.1,6.62
I-B-XA1207672-190828-01276,149.6,156.19,138.5,116.61,12.11,12.17,0.38,11.97,6.41,20.53,21.9,90.52,6.41
I-B-XA1207672-190906-00574,142.3,151.76,130.1,112.87,12.03,12.36,0.41,11.97,6.42,23.66,13.9,92.37,6.41
I-B-XA1207672-190729-00059,168.3,164.93,169.7,109.19,11.82,12.18,0.4,11.97,6.61,25.25,18.4,102.16,6.61
I-B-XA1207672-190706-01216,146,153.1,123.2,112.23,11.77,12.2,,11.97,6.6,24.12,18,96.15,6.61
I-B-XA1207672-190429-00861,162.8,161.56,156.4,114.65,12.08,12.18,,11.97,6.62,23.31,17.9,103.03,6.61
I-B-XA1207672-190830-03927,150.4,156.33,154,109.8,12.11,12.28,0.38,11.97,6.41,17.44,13.8,79.7,6.41
I-B-XA1207672-190905-03718,140,136.59,142.5,112.25,12.1,12.3,0.41,11.97,6.41,23.04,12.4,95.95,6.41
I-B-XA1207672-190904-01613,130.1,150.06,168.2,112.52,12.08,12.28,0.42,11.97,6.41,22.92,12.4,101.31,6.4
I-B-XA1207672-190610-01005,141.9,144.12,169.1,118.31,11.9,12.47,,11.97,6.6,23.59,9.7,86.94,6.63
I-B-XA1207672-190828-02061,145.2,154.11,166.7,110.54,12.12,12.19,0.4,11.97,6.41,21.36,15.7,102.98,6.41
I-B-XA1207672-190503-03421,129,168.86,157.2,112.26,12.07,12.21,,11.98,6.62,23.09,22,97.7,6.63
I-B-XA1207672-190713-00799,136.4,163.2,194.3,110.9,11.82,12.21,,11.97,6.61,27.84,18.6,106.99,6.61
I-B-XA1207672-190906-02389,175.4,140.01,145,114.36,12.05,12.27,0.41,11.97,6.41,22.54,17.3,102.96,6.4
I-B-XA1207672-190712-01251,160.3,159.71,180.1,115.49,11.84,12.27,,11.97,6.61,25.87,16.9,104.86,6.6
I-B-XA1207672-190504-01978,189.9,173.35,155.8,117.97,12.07,12.3,,11.97,6.61,22.96,42.5,100.55,6.61
I-B-XA1207672-190706-01258,125,162.27,166.1,112.36,11.74,12.23,,11.97,6.61,25.94,16.1,94.67,6.6
I-B-XA1207672-190513-00969,158.8,176.52,158.5,111.96,11.92,12.14,,11.97,6.62,29.68,27.9,98.22,6.63
I-B-XA1207672-190424-02427,163.2,159.2,177.5,112.58,12.07,12.18,,11.97,6.62,21.69,19,103.16,6.61
I-B-XA1207672-190815-00365,147.8,172.95,146.2,113.31,11.82,12.34,0.39,11.97,6.62,25.99,15.7,106.07,6.61
I-B-XA1207672-190513-01455,154.3,164.39,148.6,113.03,11.92,12.27,,11.97,6.6,27.03,16.2,114.22,6.61
I-B-XA1207672-190907-00568,168.3,133.88,169.9,111.58,12.07,12.18,0.41,11.97,6.4,18.88,14.4,94.21,6.4
I-B-XA1207672-190528-01587,152.7,171.87,170.9,113.64,11.88,12.3,,11.97,6.64,25.09,9.8,112.3,6.62
I-B-XA1207672-190727-00953,150.9,143.85,183.9,109.87,11.87,12.25,0.41,11.97,6.61,23.2,20.6,94.6,6.6
I-B-XA1207672-190906-01236,179.2,144.26,163.3,110.77,12.03,12.34,0.41,11.97,6.41,22.71,9.9,98.61,6.41
I-B-XA1207672-190528-02391,155.2,171.98,158,108.87,11.89,12.35,,11.97,6.62,25.49,14.5,95.85,6.62
I-B-XA1207672-190828-01130,145,152.6,156,116.42,12.13,12.3,0.41,11.97,6.41,21.71,11.6,99.5,6.4
I-B-XA1207672-190610-00375,145.1,152.28,157.1,116.79,11.91,12.3,,11.97,6.62,22.38,14.4,89.7,6.6
I-B-XA1207672-190504-01994,148.9,152.39,168.8,129.75,12.09,12.34,,11.97,6.61,24.81,10.8,102.1,6.63
I-B-XA1207672-190424-02231,170.1,169.67,150.1,114.86,12.07,12.2,,11.97,6.62,22.96,18.5,99.72,6.61
I-B-XA1207672-190828-02097,179.6,156.06,144.5,112.98,12.13,12.33,0.39,11.97,6.41,21.25,15.3,99.55,6.4
I-B-XA1207672-190905-00605,138.1,151.17,167.4,111.9,12.09,12.23,0.41,11.97,6.41,21.41,12.8,99.29,6.41
I-B-XA1207672-190527-00839,154.7,178.86,165.7,106.73,11.89,12.3,,11.97,6.6,26.2,31.4,102.23,6.63
I-B-XA1207672-190801-02378,148,139.23,154.3,110.85,11.85,12.19,0.36,11.97,6.61,22.27,31.2,90.51,6.61
I-B-XA1207672-190503-00175,179.7,176.49,170.5,112.7,12.07,12.16,,11.98,6.63,25.19,26.7,105.77,6.61
I-B-XA1207672-190830-02007,159.4,147,142.5,118.31,12.1,12.3,0.4,11.97,6.41,17.31,15.4,83.83,6.41
I-B-XA1207672-190801-01027,155.2,151.53,160.6,110.7,11.82,12.47,0.34,11.98,6.6,28.64,8.7,103.4,6.63
I-B-XA1207672-190907-02326,197.7,157.99,148.2,111.01,12.04,12.27,0.41,11.97,6.36,22.09,18,93.15,6.41
I-B-XA1207672-190502-02544,151.8,167.57,182.9,108.86,12.06,12.22,,11.97,6.62,22.78,15.1,96.53,6.63
I-B-XA1207672-190713-00854,180.5,149.13,138.6,112.18,11.84,12.28,,11.97,6.61,28.9,13.9,106.37,6.61
I-B-XA1207672-190803-00063,161.6,162.45,160.3,113.17,11.8,12.28,0.36,11.97,6.6,25.42,23.6,103.19,6.6
I-B-XA1207672-190502-02961,182.4,158.74,149.5,110.02,12.08,12.18,,11.98,6.61,23.24,16.9,94.14,6.61
I-B-XA1207672-190520-00282,193.1,175.16,163.7,111.96,11.89,12.33,,11.97,6.62,24.94,14.4,100.43,6.61
I-B-XA1207672-190906-00100,140.9,130.22,160,112.34,12.05,12.34,0.41,11.97,6.41,22.28,14.6,104.33,6.42
I-B-XA1207672-190706-01394,154.5,155.59,151.8,110.65,11.75,12.16,,11.97,6.61,23.55,16.2,88.45,6.6
I-B-XA1207672-190830-04772,148.7,150.62,143.3,113.03,12.12,12.26,0.39,11.97,6.42,17.55,12.9,86.2,6.41
I-B-XA1207672-190727-00769,154.9,166.31,173.8,110.48,11.82,12.16,0.42,11.97,6.61,25.33,21.6,96.8,6.61
I-B-XA1207672-190815-00655,139.9,157.34,136.7,112.02,11.81,12.14,0.39,11.97,6.6,23.39,21.3,101.78,6.63
I-B-XA1207672-190610-00847,164.6,168.05,157.4,116.39,11.89,12.33,,11.97,6.62,24.35,14,100.29,6.6
I-B-XA1207672-190528-01951,145.2,152.77,143.4,108.24,11.9,12.21,,11.97,6.6,24.92,15.4,95.78,6.61
I-B-XA1207672-190701-00766,172.3,169.96,172.4,113.08,11.74,12.28,,11.97,6.62,29.2,11.4,105.1,6.61
I-B-XA1207672-190519-00056,141.2,173.09,166.2,109.55,11.88,12.33,,11.98,6.62,22.81,9,94.48,6.6
I-B-XA1207672-190429-00509,146.5,179.43,146.3,116.46,12.06,12.15,,11.98,6.62,23.42,32.1,102.2,6.61
I-B-XA1207672-190713-00687,175.8,162.05,194.7,111.17,11.82,12.31,,11.97,6.61,25.93,18.4,104.84,6.6
I-B-XA1207672-190906-01366,167.3,148.24,147.1,113.27,12.03,12.29,0.39,11.97,6.41,24.29,10.9,102.9,6.41
I-B-XA1207672-190815-00919,166.6,170.01,140,118.8,11.83,12.34,0.38,11.97,6.61,24.43,14.3,108.86,6.62
I-B-XA1207672-190530-03384,150.9,148.1,161.3,112.92,11.91,12.36,,11.97,6.61,22.73,10.4,90.99,6.61
I-B-XA1207672-190425-00221,174.8,175.07,177.5,113.91,12.06,12.38,,11.97,6.62,25.3,25.9,106.06,6.61
I-B-XA1207672-190429-00134,177.5,164.28,150.9,114.08,12.08,12.23,,11.98,6.61,22.58,16,98.43,6.61
I-B-XA1207672-190831-00652,148.3,151.88,148.2,113.97,12.11,12.27,0.4,11.97,6.4,20.6,12.7,85.86,6.4
I-B-XA1207672-190527-00700,157.4,170.22,152.3,105.98,11.88,12.31,,11.98,6.62,24.92,14.8,97.57,6.61
I-B-XA1207672-190830-01093,147.5,143.09,142.6,113.81,12.11,12.19,0.41,11.97,6.41,17.79,17,83.28,6.42
I-B-XA1207672-190503-03619,162.6,179.85,153.1,115.64,12.05,12.15,,11.97,6.61,24.5,14,102.26,6.61
I-B-XA1207672-190513-00622,162.2,166.1,149.6,113.97,11.93,12.17,,11.97,6.62,28.76,21.7,110.8,6.61
I-B-XA1207672-190712-03153,197.8,149.41,157.5,112.07,11.87,12.21,,11.97,6.46,26.62,15.6,102.77,6.64
I-B-XA1207672-190907-00559,192.4,135.48,155.8,113.22,12.06,12.17,0.41,11.97,6.41,22.25,20.6,96.92,6.42
I-B-XA1207672-190830-02335,163,144.76,160.3,111.17,12.12,12.35,0.38,11.97,6.4,18.71,13.7,81.53,6.4
I-B-XA1207672-190508-03150,172.7,154.11,150.1,115.66,12.09,12.15,,11.98,6.62,23.64,22.4,100.65,6.61
I-B-XA1207672-190429-01294,164.1,157.87,143.2,113.61,12.08,12.28,,11.97,6.6,22.27,13.4,95.22,6.61
I-B-XA1207672-190502-01475,143.9,172.25,156.3,112.15,12.07,12.25,,11.98,6.61,23.79,21.2,96.04,6.63
I-B-XA1207672-190906-01367,166.2,147.51,168.6,109.51,12.03,12.36,0.41,11.97,6.4,23.49,10.4,107,6.41
I-B-XA1207672-190504-01819,169.2,171.07,150.2,113.15,12.07,12.27,,11.97,6.6,23.13,17.2,104.49,6.61
I-B-XA1207672-190712-00902,149.8,162.15,154.2,116.48,11.84,12.28,,11.97,6.61,25.92,19.5,100.76,6.6
I-B-XA1207672-190502-02221,175.6,174.16,163.2,112.41,12.08,12.29,,11.98,6.62,24,14.3,101.24,6.61
I-B-XA1207672-190830-04242,148.4,141.73,149.2,107.02,12.13,12.29,0.38,11.97,6.41,18.04,14.3,83.5,6.42
I-B-XA1207672-190504-01974,156.7,168.47,158.6,118.24,12.08,12.24,,11.97,6.6,30.69,13.6,102.42,6.61
I-B-XA1207672-190905-00357,165.9,153.87,120.9,112.98,12.1,12.26,0.41,11.97,6.41,24.04,19.8,104.76,6.41
I-B-XA1207672-190830-04670,149.5,154.54,160.1,110.32,12.11,12.37,0.39,11.97,6.4,20.63,13.6,83.26,6.41
I-B-XA1207672-190829-00437,156.6,142.63,137.1,112.28,12.13,12.29,0.36,11.97,6.4,19.14,18.1,84.85,6.41
I-B-XA1207672-190905-04241,136.6,138.94,144.5,113.47,12.05,12.32,0.41,11.97,6.41,24.64,19.9,98.1,6.41
I-B-XA1207672-190712-03627,169.9,158.58,163.8,117.78,11.84,12.21,,11.97,6.61,27.16,30,94.71,6.61
I-B-XA1207672-190727-00784,134.9,146.08,152.8,110.86,11.86,12.29,0.41,11.98,6.61,25.4,20.4,92.73,6.6
I-B-XA1207672-190803-00434,154.2,163.19,170.2,112.09,11.82,12.35,0.35,11.97,6.6,26.94,12.3,107.05,6.62
I-B-XA1207672-190815-01201,130.3,159.97,140.9,113.95,11.82,12.15,0.39,11.97,6.61,24.83,30.3,98.71,6.61
I-B-XA1207672-190520-01109,150.9,170.45,158.6,113.62,11.89,12.2,,11.97,6.61,23.52,14.7,96.94,6.61
I-B-XA1207672-190830-00733,184,151.4,168.5,113.25,12.09,12.26,0.38,11.97,6.44,16.65,13.9,86.67,6.41
I-B-XA1207672-190802-00635,175.3,143.39,163.2,113.66,11.84,12.29,0.35,11.97,6.61,24.46,13.1,96.71,6.61
